siparis_tarihi,teslim_suresi,teslim_tarihi,irsaliye_tarihi
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
